Poco;Tipo;LDA;Class_etapa;Duracao;UO;Campo;Tipo_sonda;Sonda;Data_fim_etapa
1-ESS-103A;Convencional com BOP;1374;Etapa Única;55,7501;UO-ES;JUBARTE;DP-GEN;SS-85;7/12/2019 6:00:00 AM
1-RJS-186A;Convencional com BOP;231;Etapa Única;53,4997;UO-BC;PIRAÚNA;ANC;SS-45;9/20/2015 12:00:00 PM
1-RJS-236B;Superconvencional;99;Etapa Única;54,2918;UO-BC;TRILHA;ANC;P-10;8/3/2015 7:30:00 PM
1-RJS-284;Through-Tubing;383;Etapa Única;50,6043;UO-BC;MARIMBÁ;ANC;SS-45;2/25/2017 8:30:00 AM
1-RJS-436A;Convencional com BOP;1853;Etapa Única;28,9165;UO-ES;RONCADOR;DP-GEN;SS-70;12/5/2021 5:00:00 PM
1-RJS-460;Superconvencional;951;Etapa Única;58,1042;UO-BC;MARLIM SUL;DP-GEN;SS-81;10/29/2020 8:30:00 AM
1-RJS-49;Superconvencional;101;Etapa Única;27,6666;UO-BC;LINGUADO;ANC;P-17;9/30/2015 9:30:00 PM
1-RJS-512HA;Superconvencional;328;Etapa Única;83,7296;UO-BC;CONGRO;ANC;SS-45;6/28/2021 3:00:00 AM
1-SPS-44;Convencional com BOP;147;Etapa Única;25,0625;E&P-EXP;BM-S-3;DP-GEN;SS-54;1/19/2015 6:30:00 AM
1-SPS-44;Convencional com BOP;147;Etapa Única;17,5;E&P-EXP;BM-S-3;DP-GEN;SS-67;1/19/2015 6:30:00 AM
2-ANP-1-RJS;Through-Tubing;1894;Etapa Única;32,7705;BUZIOS;BÚZIOS;DP-GEN;NS-31;8/23/2017 4:20:00 PM
3-BD-15C-RJS;Superconvencional;95;Faseado Etapa 1;50,9996;UO-BC;BADEJO;ANC;SS-45;7/29/2015 12:00:00 AM
3-LI-5-RJS;Convencional com BOP;103;Etapa Única;53,2921;UO-BC;LINGUADO;ANC;P-10;9/26/2015 3:30:00 AM
3-PRM-12-SES;Through-Tubing;813;Etapa Única;23,4793;UO-SEAL;PIRANEMA;DP-LWO;NS-51;2/16/2021 1:00:00 PM
3-RJS-157C;Convencional com BOP;101;Faseado Completo;13,3334;UO-BC;LINGUADO;ANC;P-16;6/2/2016 10:30:00 AM
3-RJS-157C;Convencional com BOP;101;Faseado Completo;22,5621;UO-BC;LINGUADO;ANC;SS-45;6/2/2016 10:30:00 AM
3-RJS-157C;Convencional com BOP;101;Faseado Completo;17,4584;UO-BC;LINGUADO;ANC;SS-45;6/2/2016 10:30:00 AM
3-RJS-168;Through-Tubing;95;Etapa Única;28,5833;UO-BC;LINGUADO;ANC;SS-45;3/22/2016 8:30:00 PM
3-RJS-170;Convencional com BOP;117;Etapa Única;53,0002;UO-BC;PAMPO;ANC;SS-45;12/28/2015 2:30:00 PM
3-RJS-202D;Convencional com BOP;230;Etapa Única;46,0407;UO-BC;PIRAÚNA;ANC;SS-45;11/5/2015 2:00:00 PM
3-RJS-281;Superconvencional;114;Etapa Única;35,6248;UO-BC;MOREIA;ANC;SS-45;7/31/2016 12:00:00 PM
3-RJS-313;Superconvencional;116;Etapa Única;27,4788;UO-BC;MOREIA;ANC;SS-45;8/27/2016 4:30:00 PM
3-RJS-334;Convencional com BOP;329;Faseado Etapa 1;42,875;UO-ES;ALBACORA;ANC;SS-45;10/13/2021 12:00:00 PM
3-RJS-488;Through-Tubing;834;Etapa Única;14,0834;UO-BC;MARLIM;DP-LWO;NS-52;5/16/2021 12:00:00 AM
3-RJS-670;Convencional com BOP;934;Etapa Única;39,729;UO-BC;C-M-401;DP-GEN;SS-81;3/1/2020 4:30:00 PM
3-RJS-73B;Superconvencional;102;Etapa Única;91,6667;UO-BC;LINGUADO;ANC;P-10;1/13/2015 12:00:00 AM
3-SES-154;Convencional RCMA;1340;Etapa Única;37,6459;UO-SEAL;PIRANEMA;DP-LWO;NS-51;11/23/2020 2:30:00 PM
4-ESS-132;Convencional com BOP;1440;Etapa Única;39,1877;UO-ES;GOLFINHO;DP-GEN;SS-56;12/14/2017 7:30:00 AM
4-RJS-134;Convencional com BOP;122;Etapa Única;22,3126;UO-BC;BICUDO;ANC;SS-39;10/25/2015 3:00:00 AM
4-RJS-156;Convencional com BOP;101;Faseado Etapa 1;46,1251;UO-BC;LINGUADO;ANC;SS-50;6/22/2016 9:00:00 PM
4-RJS-216;Convencional com BOP;284;Etapa Única;71,5417;UO-BC;PIRAÚNA;ANC;SS-62;6/18/2015 7:00:00 AM
4-RJS-258;Superconvencional;99;Etapa Única;142,4995;UO-BC;BADEJO;ANC;P-17;2/20/2016 11:00:00 AM
4-RJS-265A;Convencional com BOP;101;Etapa Única;23,5833;UO-BC;TRILHA;ANC;SS-50;3/20/2016 5:00:00 PM
4-RJS-477A;Convencional com BOP;1107;Etapa Única;61,9792;UO-ES;ALBACORA LESTE;DP-GEN;NS-42;12/14/2019 4:00:00 AM
4-SPS-65;Convencional com BOP;149;Etapa Única;13,1042;E&P-EXP;BM-S-3;DP-GEN;SS-54;2/1/2015 9:00:00 AM
6-BR-63A-RJS;Convencional com BOP;873;Etapa Única;39,8755;UO-BC;BARRACUDA;DP-GEN;SS-61;1/15/2016 1:00:00 PM
6-PRM-4D-SES;Convencional RCMA;1483;Faseado Completo;25,1458;UO-SEAL;PIRANEMA;DP-LWO;NS-51;4/29/2021 4:30:00 PM
6-PRM-4D-SES;Convencional RCMA;1483;Faseado Completo;10,0417;UO-SEAL;PIRANEMA;DP-LWO;NS-51;8/11/2021 12:00:00 AM
7-AB-10D-RJS;Convencional com BOP;847;Etapa Única;23,6663;UO-ES;ALBACORA;ANC;SS-62;12/9/2015 4:00:00 PM
7-AB-16D-RJS;Through-Tubing;448;Etapa Única;39,854;UO-ES;ALBACORA;ANC;SS-45;4/6/2022 1:00:00 AM
7-AB-19DA-RJS;Through-Tubing;600;Etapa Única;47,1039;UO-ES;ALBACORA;DP-LWO;NS-51;8/25/2018 12:00:00 PM
7-AB-25D-RJS;Through-Tubing;602;Etapa Única;44,7499;UO-ES;ALBACORA;DP-LWO;NS-51;1/30/2020 10:00:00 PM
7-AB-25D-RJS;Through-Tubing;602;Etapa Única;36,5416;UO-ES;ALBACORA;DP-LWO;NS-52;1/30/2020 10:00:00 PM
7-AB-37D-RJS;Through-Tubing;532;Etapa Única;57,0828;UO-ES;ALBACORA;DP-LWO;NS-52;7/12/2021 2:00:00 AM
7-AB-47D-RJS;Through-Tubing;397;Etapa Única;48,1456;UO-ES;ALBACORA;ANC;SS-45;8/15/2021 6:30:00 AM
7-AB-48D-RJS;Through-Tubing;397;Etapa Única;13,7914;UO-ES;ALBACORA;ANC;SS-45;8/29/2021 1:30:00 AM
7-AB-56DA-RJS;Through-Tubing;454;Etapa Única;40,9375;UO-ES;ALBACORA;DP-LWO;NS-51;7/9/2018 9:30:00 AM
7-AB-61D-RJS;Through-Tubing;455;Etapa Única;41,8333;UO-ES;ALBACORA;DP-LWO;NS-51;7/31/2018 12:00:00 AM
7-AB-7DA-RJS;Convencional com BOP;439;Etapa Única;28,2708;UO-ES;ALBACORA;ANC;SS-39;7/13/2015 12:00:00 PM
7-BAZ-6-ESS;Convencional com BOP;1377;Faseado Etapa 2;10,9166;UO-ES;BALEIA AZUL;DP-GEN;SS-73;9/21/2020 12:00:00 AM
7-BD-12D-RJS;Convencional com BOP;86;Etapa Única;89,6874;UO-BC;BADEJO;ANC;P-16;2/5/2015 7:00:00 AM
7-BD-16DA-RJS;Superconvencional;95;Etapa Única;54,6042;UO-BC;BADEJO;ANC;SS-45;6/8/2015 12:00:00 AM
7-BD-7D-RJS;Superconvencional;88;Etapa Única;78,8542;UO-BC;BADEJO;ANC;P-16;11/21/2015 8:00:00 AM
7-BD-9D-RJS;Superconvencional;87;Etapa Única;70,9791;UO-BC;BADEJO;ANC;P-16;1/31/2016 3:30:00 PM
7-BFR-3HP-ESS;Convencional com BOP;1515;Faseado Etapa 1;28,2499;UO-ES;BALEIA FRANCA;DP-GEN;SS-81;12/18/2020 12:00:00 AM
7-BI-17HPA-RJS;Convencional com BOP;128;Etapa Única;40,1253;UO-BC;BICUDO;ANC;SS-39;2/4/2016 8:30:00 PM
7-BI-1D-RJS;Convencional com BOP;121;Etapa Única;49,3335;UO-BC;BICUDO;ANC;SS-62;3/6/2016 3:30:00 AM
7-BI-21H-RJS;Superconvencional;143;Etapa Única;47,6665;UO-BC;BICUDO;ANC;SS-45;4/18/2017 1:30:00 PM
7-BI-2D-RJS;Convencional com BOP;132;Etapa Única;42,9583;UO-BC;BICUDO;ANC;P-17;4/19/2015 6:00:00 PM
7-BI-7DA-RJS;Convencional com BOP;132;Faseado Etapa 2;13,9586;UO-BC;BICUDO;ANC;SS-39;11/28/2015 6:00:00 PM
7-EN-47D-RJS;Through-Tubing;122;Etapa Única;48,1041;UO-BC;ENCHOVA;ANC;SS-39;10/2/2015 6:30:00 PM
7-ESP-15H-RJS;Convencional com BOP;864;Faseado Etapa 1;34,9165;UO-BC;ESPADARTE;DP-GEN;SS-70;10/8/2021 6:00:00 AM
7-ESP-34HP-RJS;Superconvencional;1340;Etapa Única;45,9996;UO-BC;ESPADARTE;DP-GEN;SS-57;11/7/2019 4:30:00 PM
